"id_kit","cod_programa","nom_programa","programa","cod_meta","nom_meta","meta","cod_subfin","nom_subfin","sub_finalidad","cod_producto","cod_actividad","cod_clasificador","nom_clasificador","clasificador","nivel","tipo_bien","tipo_calculo","cod_item_fam","nom_item_fam","item_fam"
11,2,"SALUD MATERNO NEONATAL","0002 SALUD MATERNO NEONATAL",19,"ATENCION DE LA GESTANTE CON COMPLICACIONES","19 ATENCION DE LA GESTANTE CON COMPLICACIONES",117,"HIPEREMESIS GRAVIDICA","3329408 HIPEREMESIS GRAVIDICA","3033294","5000044","2.3. 1  8. 1  2","MEDICAMENTOS","2.3. 1  8. 1  2 MEDICAMENTOS","I","B",4,"583800750003","DIMENHIDRINATO 50 mg TAB","583800750003 DIMENHIDRINATO 50 mg TAB"
12,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",210,"DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","4396402 DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","3000614","5004438","2.6. 3  2. 4  2","EQUIPOS","2.6. 3  2. 4  2 EQUIPOS","I","B",3,"532279080001","MICROSCOPIO DE FLUORESCENCIA","532279080001 MICROSCOPIO DE FLUORESCENCIA"
13,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",210,"DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","4396402 DIAGNOSTICO DE TUBERCULOSIS EXTRA PULMONAR","3000614","5004438","2.6. 3  2. 4  2","EQUIPOS","2.6. 3  2. 4  2 EQUIPOS","I","B",3,"532220390001","CENTRIFUGA PARA PLACAS","532220390001 CENTRIFUGA PARA PLACAS"
14,17,"ENFERMEDADES METAXENICAS Y ZOONOSIS","0017 ENFERMEDADES METAXENICAS Y ZOONOSIS",52,"VIVIENDAS PROTEGIDAS DE LOS PRINCIPALES CONDICIONANTES DEL RIESGO EN LAS AREAS DE ALTO Y MUY ALTO RIESGO DE ENFERMEDADES METAXENICAS Y ZOONOSIS","52 VIVIENDAS PROTEGIDAS DE LOS PRINCIPALES CONDICIONANTES DEL RIESGO EN LAS AREAS DE ALTO Y MUY ALTO RIESGO DE ENFERMEDADES METAXENICAS Y ZOONOSIS",259,"VIVIENDAS PROTEGIDAS DE LOS PRINCIPALES CONDICIONANTES EN LAS AREAS DE RIESGO DE TRASMISION DE RABIA SILVESTRE","4398112 VIVIENDAS PROTEGIDAS DE LOS PRINCIPALES CONDICIONANTES EN LAS AREAS DE RIESGO DE TRASMISION DE RABIA SILVESTRE","3043981","5000091","2.3. 2  8. 1  4","AGUINALDOS DE C.A.S.","2.3. 2  8. 1  4 AGUINALDOS DE C.A.S.","I","S",1,"080600010001","AGUINALDOS DE C.A.S.","080600010001 AGUINALDOS DE C.A.S."
15,68,"REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","0068 REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES",96,"ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19","96 ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19",1787,"INTERVENCIÓN DE LA GESTIÓN DEL RIESGO DE DESASTRES FRENTE AL COVID-19","0315290 INTERVENCIÓN DE LA GESTIÓN DEL RIESGO DE DESASTRES FRENTE AL COVID-19","3000734","5006269","2.3. 2  4. 7  1","DE MAQUINARIAS Y EQUIPOS","2.3. 2  4. 7  1 DE MAQUINARIAS Y EQUIPOS","I","S",2,"601000020088","MANTENIMIENTO CORRECTIVO DE EXTRACTOR DE AIRE","601000020088 MANTENIMIENTO CORRECTIVO DE EXTRACTOR DE AIRE"
16,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",1,"VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION","1 VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION",1,"VIGILANCIA DEL ESTADO NUTRICIONAL DEL NIÑO","3324401 VIGILANCIA DEL ESTADO NUTRICIONAL DEL NIÑO","3000001","5004424","2.3. 2  1. 2  1","PASAJES Y GASTOS DE TRANSPORTE","2.3. 2  1. 2  1 PASAJES Y GASTOS DE TRANSPORTE","I","S",2,"901000010008","TRASLADO PERSONAL - COMISION DE SERVICIO - PASAJES TERRES. NACIONAL","901000010008 TRASLADO PERSONAL - COMISION DE SERVICIO - PASAJES TERRES. NACIONAL"
17,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",30,"DESARROLLO DE NORMAS Y GUIAS TECNICAS VIH SIDA, TUBERCULOSIS","30 DESARROLLO DE NORMAS Y GUIAS TECNICAS VIH SIDA, TUBERCULOSIS",1425," IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS TB/VIH-SIDA","4395102  IMPLEMENTACIÓN DE DOCUMENTOS TÉCNICOS NORMATIVOS TB/VIH-SIDA","3000001","5004434","2.3. 2  7.11  2","TRANSPORTE Y TRASLADO DE CARGA, BIENES Y MATERIALES","2.3. 2  7.11  2 TRANSPORTE Y TRASLADO DE CARGA, BIENES Y MATERIALES","I","S",2,"900500030006","TRANSPORTE DE CARGA A NIVEL NACIONAL","900500030006 TRANSPORTE DE CARGA A NIVEL NACIONAL"
18,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",9,"ATENCION DE OTRAS ENFERMEDADES PREVALENTES","9 ATENCION DE OTRAS ENFERMEDADES PREVALENTES",848,"SOB/ASMA","3331502 SOB/ASMA","3033315","5000031","2.3. 2  8. 1  2","CONTRIBUCIONES A ESSALUD DE C.A.S.","2.3. 2  8. 1  2 CONTRIBUCIONES A ESSALUD DE C.A.S.","I","S",1,"880500040001","CONTRIBUCIONES A ESSALUD DE CAS","880500040001 CONTRIBUCIONES A ESSALUD DE CAS"
19,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",118,"TAMIZAJE DE PERSONAS CON TRASTORNOS MENTALES Y PROBLEMAS PSICOSOCIALES","118 TAMIZAJE DE PERSONAS CON TRASTORNOS MENTALES Y PROBLEMAS PSICOSOCIALES",1646," TAMIZAJE PARA DETECTAR VIOLENCIA FAMILIAR  EN PERSONAS MAYORES DE 18 AÑOS","0070606  TAMIZAJE PARA DETECTAR VIOLENCIA FAMILIAR  EN PERSONAS MAYORES DE 18 AÑOS","3000698","5005188","2.3. 2  8. 1  2","CONTRIBUCIONES A ESSALUD DE C.A.S.","2.3. 2  8. 1  2 CONTRIBUCIONES A ESSALUD DE C.A.S.","I","S",1,"880500040001","CONTRIBUCIONES A ESSALUD DE CAS","880500040001 CONTRIBUCIONES A ESSALUD DE CAS"
20,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",4,"VIGILANCIA DE LA CALIDAD DEL AGUA PARA EL CONSUMO HUMANO","4 VIGILANCIA DE LA CALIDAD DEL AGUA PARA EL CONSUMO HUMANO",48,"ANALISIS FISICO / QUIMICOS","3326008 ANALISIS FISICO / QUIMICOS","3000609","5004428","2.3. 2  4. 7  1","DE MAQUINARIAS Y EQUIPOS","2.3. 2  4. 7  1 DE MAQUINARIAS Y EQUIPOS","I","S",2,"608500100053","MANTENIMIENTO PREVENTIVO DE MULTIPARAMETRO PORTATIL","608500100053 MANTENIMIENTO PREVENTIVO DE MULTIPARAMETRO PORTATIL"
21,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",134,"TRATAMIENTO CON INTERNAMIENTO DE PACIENTES CON TRASTORNO DEL COMPORTAMIENTO DEBIDO AL CONSUMO DE ALCOHOL","134 TRATAMIENTO CON INTERNAMIENTO DE PACIENTES CON TRASTORNO DEL COMPORTAMIENTO DEBIDO AL CONSUMO DE ALCOHOL",802,"TRATAMIENTO CON INTERNAMIENTO DE PACIENTES CON TRASTORNO DEL COMPORTAMIENTO DEBIDO AL CONSUMO DE ALCOHOL","5005193 TRATAMIENTO CON INTERNAMIENTO DE PACIENTES CON TRASTORNO DEL COMPORTAMIENTO DEBIDO AL CONSUMO DE ALCOHOL","3000881","5005193","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080100080001","CONTRATACION DE PROFESIONAL EN ENFERMERIA ","080100080001 CONTRATACION DE PROFESIONAL EN ENFERMERIA "
22,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",1,"VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION","1 VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION",1,"VIGILANCIA DEL ESTADO NUTRICIONAL DEL NIÑO","3324401 VIGILANCIA DEL ESTADO NUTRICIONAL DEL NIÑO","3000001","5004424","2.3. 2  5. 1  1","DE EDIFICIOS Y ESTRUCTURAS","2.3. 2  5. 1  1 DE EDIFICIOS Y ESTRUCTURAS","I","S",2,"940500020008","ALQUILER DE AUDITORIO","940500020008 ALQUILER DE AUDITORIO"
23,18,"ENFERMEDADES NO TRANSMISIBLES","0018 ENFERMEDADES NO TRANSMISIBLES",75,"CAPACITACION A ACTORES SOCIALES PARA LA PROMOCION DE PRACTICAS Y ENTORNOS SALUDABLES PARA PREVENIR FACTORES DE RIESGO DE ENFERMEDADES NO TRANSMISIBLES","75 CAPACITACION A ACTORES SOCIALES PARA LA PROMOCION DE PRACTICAS Y ENTORNOS SALUDABLES PARA PREVENIR FACTORES DE RIESGO DE ENFERMEDADES NO TRANSMISIBLES",1087,"FUNCIONARIOS MUNICIPALES CAPACITADOS PARA LA GENERACIÓN DE ENTORNOS SALUDABLES FRENTE A LAS ENFERMEDADES NO TRASMISIBLES.","4398802 FUNCIONARIOS MUNICIPALES CAPACITADOS PARA LA GENERACIÓN DE ENTORNOS SALUDABLES FRENTE A LAS ENFERMEDADES NO TRASMISIBLES.","3043988","5005996","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080100080026","CONTRATACION DE PROFESIONAL EN NUTRICION","080100080026 CONTRATACION DE PROFESIONAL EN NUTRICION"
24,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",209,"DIAGNOSTICO DE TUBERCULOSIS PULMONAR","4396401 DIAGNOSTICO DE TUBERCULOSIS PULMONAR","3000614","5004438","2.6. 3  2. 4  2","EQUIPOS","2.6. 3  2. 4  2 EQUIPOS","I","B",3,"532269040001","INCUBADORA DE LABORATORIO (OTROS)","532269040001 INCUBADORA DE LABORATORIO (OTROS)"
25,2,"SALUD MATERNO NEONATAL","0002 SALUD MATERNO NEONATAL",26,"ATENCION DEL RECIEN NACIDO CON COMPLICACIONES","26 ATENCION DEL RECIEN NACIDO CON COMPLICACIONES",156,"SEPSIS NEONATAL","3330610 SEPSIS NEONATAL","3033306","5000054","2.3. 1  8. 1  2","MEDICAMENTOS","2.3. 1  8. 1  2 MEDICAMENTOS","I","B",4,"580800230001","CEFTAZIDIMA 1 g INY","580800230001 CEFTAZIDIMA 1 g INY"
26,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",33,"DIAGNOSTICO DE CASOS DE TUBERCULOSIS","33 DIAGNOSTICO DE CASOS DE TUBERCULOSIS",1434,"DIAGNOSTICO ESPECIALIZADO DE TUBERCULOSIS","4396403 DIAGNOSTICO ESPECIALIZADO DE TUBERCULOSIS","3000614","5004438","2.3. 2  5. 1  2","DE VEHICULOS","2.3. 2  5. 1  2 DE VEHICULOS","I","S",2,"942000030002","ALQUILER DE AUTOMÓVIL","942000030002 ALQUILER DE AUTOMÓVIL"
27,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",1,"VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION","1 VIGILANCIA, INVESTIGACION Y TECNOLOGIAS EN NUTRICION",5,"DESARROLLO DE TECNOLOGIAS PARA MEJORAR LAS INTERVENCIONES EN ALIMENTACION Y NUTRICION","3324406 DESARROLLO DE TECNOLOGIAS PARA MEJORAR LAS INTERVENCIONES EN ALIMENTACION Y NUTRICION","3000001","5004424","2.3. 2  7. 4  1","ELABORACION DE PROGRAMAS INFORMATICOS","2.3. 2  7. 4  1 ELABORACION DE PROGRAMAS INFORMATICOS","I","S",2,"170100030353","SERVICIO DE DISEÑO GRAFICO VISUAL PARA MODULO VIRTUAL","170100030353 SERVICIO DE DISEÑO GRAFICO VISUAL PARA MODULO VIRTUAL"
28,68,"REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","0068 REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES",96,"ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19","96 ADQUISICION Y DISTRIBUCION DE PRODUCTOS DE PRIMERA NECESIDAD - COVID-19",1787,"INTERVENCIÓN DE LA GESTIÓN DEL RIESGO DE DESASTRES FRENTE AL COVID-19","0315290 INTERVENCIÓN DE LA GESTIÓN DEL RIESGO DE DESASTRES FRENTE AL COVID-19","3000734","5006269","2.3. 2  8. 1  1","CONTRATO ADMINISTRATIVO DE SERVICIOS","2.3. 2  8. 1  1 CONTRATO ADMINISTRATIVO DE SERVICIOS","I","S",1,"080100050001","CONTRATACION DE PROFESIONAL EN CONTABILIDAD","080100050001 CONTRATACION DE PROFESIONAL EN CONTABILIDAD"
29,68,"REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES","0068 REDUCCION DE VULNERABILIDAD Y ATENCION DE EMERGENCIAS POR DESASTRES",94,"ADMINISTRACION Y ALMACENAMIENTO DE INFRAESTRUCTURA MOVIL PARA LA ASISTENCIA FRENTE A EMERGENCIAS Y DESASTRES","94 ADMINISTRACION Y ALMACENAMIENTO DE INFRAESTRUCTURA MOVIL PARA LA ASISTENCIA FRENTE A EMERGENCIAS Y DESASTRES",839,"ADMINISTRACION Y ALMACENAMIENTO DE INFRAESTRUCTURA MOVIL PARA LA ASISTENCIA FRENTE A EMERGENCIAS Y DESASTRES","5005610 ADMINISTRACION Y ALMACENAMIENTO DE INFRAESTRUCTURA MOVIL PARA LA ASISTENCIA FRENTE A EMERGENCIAS Y DESASTRES","3000734","5005610","2.3. 2  4. 6  1","DE MOBILIARIO Y SIMILARES","2.3. 2  4. 6  1 DE MOBILIARIO Y SIMILARES","I","S",3,"603500050003","MANTENIMINETO PREVENTIVO DE TOLDOS Y CARPAS","603500050003 MANTENIMINETO PREVENTIVO DE TOLDOS Y CARPAS"
30,16,"TBC-VIH/SIDA","0016 TBC-VIH/SIDA",29,"MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS","29 MONITOREO, SUPERVISION, EVALUACION Y CONTROL DE VIH SIDA - TUBERCULOSIS",1327,"EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","4395005 EVALUACIÓN DE DIAGNÓSTICO ESPECIALIZADO TB/VIH-SIDA","3000001","5004433","2.3. 2  9. 1  1","LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","2.3. 2  9. 1  1 LOCACION DE SERVICIOS REALIZADOS POR PERSONAS NATURALES RELACIONADAS AL ROL DE LA ENTIDAD","I","S",2,"071100384590","SERVICIO ESPECIALIZADO EN ANALISIS DE DATOS Y ESTADISTICAS","071100384590 SERVICIO ESPECIALIZADO EN ANALISIS DE DATOS Y ESTADISTICAS"
31,1,"PROGRAMA ARTICULADO NUTRICIONAL","0001 PROGRAMA ARTICULADO NUTRICIONAL",6,"INTERVENCIONES DE COMUNICACION PARA EL CUIDADO INFANTIL Y PREVENCION DE ANEMIA Y DESNUTRICION CRONICA INFANTIL","6 INTERVENCIONES DE COMUNICACION PARA EL CUIDADO INFANTIL Y PREVENCION DE ANEMIA Y DESNUTRICION CRONICA INFANTIL",660,"COMUNICADORES, LIDERES DE OPINION, PERIODISTICA Y VOCEROS INFORMADOS","0073302 COMUNICADORES, LIDERES DE OPINION, PERIODISTICA Y VOCEROS INFORMADOS","3000733","5005326","2.3. 2  5. 1  1","DE EDIFICIOS Y ESTRUCTURAS","2.3. 2  5. 1  1 DE EDIFICIOS Y ESTRUCTURAS","I","S",2,"940500040027","ALQUILER DE LOCAL","940500040027 ALQUILER DE LOCAL"
32,131,"CONTROL Y PREVENCION EN SALUD MENTAL","0131 CONTROL Y PREVENCION EN SALUD MENTAL",130,"SESIONES DE ENTRENAMIENTO EN HABILIDADES SOCIALES PARA ADOLESCENTES, JOVENES Y ADULTOS","130 SESIONES DE ENTRENAMIENTO EN HABILIDADES SOCIALES PARA ADOLESCENTES, JOVENES Y ADULTOS",810,"SESIONES DE ENTRENAMIENTO EN HABILIDADES SOCIALES PARA ADOLESCENTES, JOVENES Y ADULTOS","5005201 SESIONES DE ENTRENAMIENTO EN HABILIDADES SOCIALES PARA ADOLESCENTES, JOVENES Y ADULTOS","3000705","5005201","2.6. 3  2. 2  1","MAQUINAS Y EQUIPOS","2.6. 3  2. 2  1 MAQUINAS Y EQUIPOS","I","B",3,"952253400001","MEGAFONO","952253400001 MEGAFONO"
